"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",66692,2198,110,5549,3,69531,4,292.83
"None","Total",66692,2198,110,5549,3,69531,4,292.83
